405,Landes-Hypothekenbanken,405,Landes-Hypothekenbanken,
406,Versicherungsunternehmen,406,Versicherungsunternehmen,
407,Pensionskassen,407,Pensionskassen,
"",Sparte Transport und Verkehr,,Sparte Transport und Verkehr,
501,Schienenbahnen,501,Schienenbahnen,
502,"Autobus-, Luftfahrt- und Schifffahrtunternehmungen",502,"Autobus-, Luftfahrt- und Schifffahrtunternehmungen",
503,Seilbahnen,503,Seilbahnen,
504,Spediteure,504,Spediteure,
505,Beförderungsgewerbe mit Personenkraftwagen,505,Beförderungsgewerbe mit Personenkraftwagen,
506,Güterbeförderungsgewerbe,506,Güterbeförderungsgewerbe,
507,"Fahrschulen, allgemeiner Verkehr",507,"Fahrschulen, allgemeiner Verkehr",
508,"Garagen-, Tankstellen- und Servicestationsunternehmungen",508,"Garagen-, Tankstellen- und Servicestationsunternehmungen",
"",Sparte Tourismus und Freizeitwirtschaft,,Sparte Tourismus und Freizeitwirtschaft,
601,Gastronomie,601,Gastronomie,
602,Hotellerie,602,Hotellerie,
603,Gesundheitsbetriebe,603,Gesundheitsbetriebe,
604,Reisebüros,604,Reisebüros,
605,"Kino-, Kultur- und Vergnügungsbetriebe",605,"Kino-, Kultur- und Vergnügungsbetriebe","plus einige BZ(Künstlerargenturen, Künstlermanagement, Kartenbüros, Begleitagenturen)"
606,Freizeit- und Sportbetriebe,606,Freizeit- und Sportbetriebe,"minus einige BZ(Künstlerargenturen, Künstlermanagement, Kartenbüros, Begleitagenturen)"
"",Sparte Information und Consulting,,Sparte Information und Consulting,
701,Abfall- und Abwasserwirtschaft,701,Entsorgungs- und Ressourcenmanagement,neue Bezeichnung
702,Finanzdienstleister,702,Finanzdienstleister,
703,Werbung und Marktkommunikation,703,Werbung und Marktkommunikation,
704,Unternehmensberatung und Informationstechnologie,704,"Unternehmensberatung, Buchhaltung und Informationstechnologie",neue Bezeichnung
705,Ingenieurbüros,705,Ingenieurbüros,
706,Druck,706,Druck,
707,Immobilien- und Vermögenstreuhänder,707,Immobilien- und Vermögenstreuhänder,
708,Buch- und Medienwirtschaft,708,Buch- und Medienwirtschaft,
709,Versicherungsmakler und Berater in Vers.angelegenheiten,709,Versicherungsmakler und Berater in Vers.angelegenheiten,
710,Telekommunikations- und Rundfunkunternehmungen,710,Telekommunikations- und Rundfunkunternehmungen,
